2026-03-12 06:50:12 | INFO     | ai_quant_trader | 活跃订单数量：0
2026-03-12 06:50:12 | INFO     | ai_quant_trader | 交易所 API 返回 0 个活跃订单
2026-03-12 06:50:12 | INFO     | ai_quant_trader | 交易所返回 0 个原始订单
2026-03-12 06:50:12 | INFO     | ai_quant_trader | 查询到 0 个活跃订单
2026-03-12 06:50:12 | INFO     | ai_quant_trader | 开始查询活跃订单，交易对：BTCUSDT
2026-03-12 06:50:12 | INFO     | ai_quant_trader | 查询指定交易对订单：BTCUSDT
2026-03-12 06:50:12 | INFO     | ai_quant_trader | API 调用成功，返回 500 个订单
2026-03-12 06:50:12 | INFO     | ai_quant_trader | 活跃订单数量：0
2026-03-12 06:50:12 | INFO     | ai_quant_trader | 交易所 API 返回 0 个活跃订单
2026-03-12 06:50:12 | INFO     | ai_quant_trader | 交易所返回 0 个原始订单
2026-03-12 06:50:12 | INFO     | ai_quant_trader | 查询到 0 个活跃订单
2026-03-12 06:50:12 | INFO     | ai_quant_trader | Waiting 60 seconds until next cycle...
2026-03-12 06:51:10 | INFO     | ai_quant_trader | Fetching 200 klines for BTCUSDT 15m (attempt 1)
2026-03-12 06:51:11 | INFO     | ai_quant_trader | Successfully fetched 200 klines for BTCUSDT 15m
2026-03-12 06:51:11 | INFO     | ai_quant_trader | Cache updated: BTCUSDT 15m - 200 candles, latest: 2026-03-11 22:45:00
2026-03-12 06:51:11 | INFO     | ai_quant_trader | Syncing position from exchange for BTCUSDT
2026-03-12 06:51:11 | INFO     | ai_quant_trader | Recovered entry time from exchange: BTCUSDT at 2026-03-12 06:35:42.855071
2026-03-12 06:51:11 | INFO     | ai_quant_trader | Updated position entry time: BTCUSDT at 2026-03-12 06:35:42.855071
2026-03-12 06:51:11 | INFO     | ai_quant_trader | Position synced: short 0.005 @ 70538.0, hold=15min
2026-03-12 06:51:11 | INFO     | ai_quant_trader | 止盈优化: 基础=70262.98, 布林线=70011.68, 时间=66845.32, 最终=70011.68
2026-03-12 06:51:11 | INFO     | ai_quant_trader | LLM request attempt 1/3
2026-03-12 06:51:12 | INFO     | ai_quant_trader | LLM response received, length: 178
2026-03-12 06:51:12 | INFO     | ai_quant_trader | Found JSON object, length: 159
2026-03-12 06:51:12 | INFO     | ai_quant_trader | Successfully parsed JSON from LLM response
2026-03-12 06:51:12 | ERROR    | ai_quant_trader | Decision generation failed: name 'indicators' is not defined
2026-03-12 06:51:12 | INFO     | ai_quant_trader | 开始查询活跃订单，交易对：BTCUSDT
2026-03-12 06:51:12 | INFO     | ai_quant_trader | 查询指定交易对订单：BTCUSDT
2026-03-12 06:51:12 | INFO     | ai_quant_trader | API 调用成功，返回 500 个订单
2026-03-12 06:51:12 | INFO     | ai_quant_trader | 活跃订单数量：0
2026-03-12 06:51:12 | INFO     | ai_quant_trader | 交易所 API 返回 0 个活跃订单
2026-03-12 06:51:12 | INFO     | ai_quant_trader | 交易所返回 0 个原始订单
2026-03-12 06:51:12 | INFO     | ai_quant_trader | 查询到 0 个活跃订单
2026-03-12 06:51:12 | INFO     | ai_quant_trader | 开始查询活跃订单，交易对：BTCUSDT
2026-03-12 06:51:12 | INFO     | ai_quant_trader | 查询指定交易对订单：BTCUSDT
2026-03-12 06:51:12 | INFO     | ai_quant_trader | API 调用成功，返回 500 个订单
2026-03-12 06:51:12 | INFO     | ai_quant_trader | 活跃订单数量：0
2026-03-12 06:51:12 | INFO     | ai_quant_trader | 交易所 API 返回 0 个活跃订单
2026-03-12 06:51:12 | INFO     | ai_quant_trader | 交易所返回 0 个原始订单
2026-03-12 06:51:12 | INFO     | ai_quant_trader | 查询到 0 个活跃订单
2026-03-12 06:51:12 | INFO     | ai_quant_trader | 开始查询活跃订单，交易对：BTCUSDT
2026-03-12 06:51:12 | INFO     | ai_quant_trader | 查询指定交易对订单：BTCUSDT
2026-03-12 06:51:12 | INFO     | ai_quant_trader | API 调用成功，返回 500 个订单
2026-03-12 06:51:12 | INFO     | ai_quant_trader | 活跃订单数量：0
2026-03-12 06:51:12 | INFO     | ai_quant_trader | 交易所 API 返回 0 个活跃订单
2026-03-12 06:51:12 | INFO     | ai_quant_trader | 交易所返回 0 个原始订单
2026-03-12 06:51:12 | INFO     | ai_quant_trader | 查询到 0 个活跃订单
2026-03-12 06:51:12 | INFO     | ai_quant_trader | Waiting 60 seconds until next cycle...
2026-03-12 06:51:12 | INFO     | ai_quant_trader | Fetching 200 klines for BTCUSDT 15m (attempt 1)
2026-03-12 06:51:13 | INFO     | ai_quant_trader | Successfully fetched 200 klines for BTCUSDT 15m
2026-03-12 06:51:13 | INFO     | ai_quant_trader | Cache updated: BTCUSDT 15m - 200 candles, latest: 2026-03-11 22:45:00
2026-03-12 06:51:13 | INFO     | ai_quant_trader | Syncing position from exchange for BTCUSDT
2026-03-12 06:51:13 | INFO     | ai_quant_trader | Recovered entry time from exchange: BTCUSDT at 2026-03-12 06:34:47.018700
2026-03-12 06:51:13 | INFO     | ai_quant_trader | Updated position entry time: BTCUSDT at 2026-03-12 06:34:47.018700
2026-03-12 06:51:13 | INFO     | ai_quant_trader | Position synced: short 0.005 @ 70538.0, hold=16min
2026-03-12 06:51:13 | INFO     | ai_quant_trader | 止盈优化: 基础=70258.08, 布林线=70006.81, 时间=66840.67, 最终=70006.81
2026-03-12 06:51:13 | INFO     | ai_quant_trader | LLM request attempt 1/3
2026-03-12 06:51:14 | INFO     | ai_quant_trader | LLM response received, length: 178
2026-03-12 06:51:14 | INFO     | ai_quant_trader | Found JSON object, length: 159
2026-03-12 06:51:14 | INFO     | ai_quant_trader | Successfully parsed JSON from LLM response
2026-03-12 06:51:14 | ERROR    | ai_quant_trader | Decision generation failed: name 'indicators' is not defined
2026-03-12 06:51:14 | INFO     | ai_quant_trader | 开始查询活跃订单，交易对：BTCUSDT
2026-03-12 06:51:14 | INFO     | ai_quant_trader | 查询指定交易对订单：BTCUSDT
2026-03-12 06:51:14 | INFO     | ai_quant_trader | API 调用成功，返回 500 个订单
2026-03-12 06:51:14 | INFO     | ai_quant_trader | 活跃订单数量：0
2026-03-12 06:51:14 | INFO     | ai_quant_trader | 交易所 API 返回 0 个活跃订单
2026-03-12 06:51:14 | INFO     | ai_quant_trader | 交易所返回 0 个原始订单
2026-03-12 06:51:14 | INFO     | ai_quant_trader | 查询到 0 个活跃订单
2026-03-12 06:51:14 | INFO     | ai_quant_trader | 开始查询活跃订单，交易对：BTCUSDT
2026-03-12 06:51:14 | INFO     | ai_quant_trader | 查询指定交易对订单：BTCUSDT
2026-03-12 06:51:14 | INFO     | ai_quant_trader | API 调用成功，返回 500 个订单
2026-03-12 06:51:14 | INFO     | ai_quant_trader | 活跃订单数量：0
2026-03-12 06:51:14 | INFO     | ai_quant_trader | 交易所 API 返回 0 个活跃订单
2026-03-12 06:51:14 | INFO     | ai_quant_trader | 交易所返回 0 个原始订单
2026-03-12 06:51:14 | INFO     | ai_quant_trader | 查询到 0 个活跃订单
2026-03-12 06:51:14 | INFO     | ai_quant_trader | 开始查询活跃订单，交易对：BTCUSDT
2026-03-12 06:51:14 | INFO     | ai_quant_trader | 查询指定交易对订单：BTCUSDT
2026-03-12 06:51:14 | INFO     | ai_quant_trader | API 调用成功，返回 500 个订单
2026-03-12 06:51:14 | INFO     | ai_quant_trader | 活跃订单数量：0
2026-03-12 06:51:14 | INFO     | ai_quant_trader | 交易所 API 返回 0 个活跃订单
2026-03-12 06:51:14 | INFO     | ai_quant_trader | 交易所返回 0 个原始订单
2026-03-12 06:51:14 | INFO     | ai_quant_trader | 查询到 0 个活跃订单
2026-03-12 06:51:14 | INFO     | ai_quant_trader | Waiting 60 seconds until next cycle...
2026-03-12 06:52:12 | INFO     | ai_quant_trader | Fetching 200 klines for BTCUSDT 15m (attempt 1)
2026-03-12 06:52:12 | INFO     | ai_quant_trader | Successfully fetched 200 klines for BTCUSDT 15m
2026-03-12 06:52:12 | INFO     | ai_quant_trader | Cache updated: BTCUSDT 15m - 200 candles, latest: 2026-03-11 22:45:00
2026-03-12 06:52:12 | INFO     | ai_quant_trader | Syncing position from exchange for BTCUSDT
2026-03-12 06:52:12 | INFO     | ai_quant_trader | Recovered entry time from exchange: BTCUSDT at 2026-03-12 06:35:42.855071
2026-03-12 06:52:13 | INFO     | ai_quant_trader | Updated position entry time: BTCUSDT at 2026-03-12 06:35:42.855071
2026-03-12 06:52:13 | INFO     | ai_quant_trader | Position synced: short 0.005 @ 70538.0, hold=16min
2026-03-12 06:52:13 | INFO     | ai_quant_trader | 止盈优化: 基础=70258.08, 布林线=70006.81, 时间=66840.67, 最终=70006.81
2026-03-12 06:52:13 | INFO     | ai_quant_trader | LLM request attempt 1/3
2026-03-12 06:52:13 | INFO     | ai_quant_trader | LLM response received, length: 178
2026-03-12 06:52:13 | INFO     | ai_quant_trader | Found JSON object, length: 159
2026-03-12 06:52:13 | INFO     | ai_quant_trader | Successfully parsed JSON from LLM response
2026-03-12 06:52:13 | ERROR    | ai_quant_trader | Decision generation failed: name 'indicators' is not defined
2026-03-12 06:52:13 | INFO     | ai_quant_trader | 开始查询活跃订单，交易对：BTCUSDT
2026-03-12 06:52:13 | INFO     | ai_quant_trader | 查询指定交易对订单：BTCUSDT
2026-03-12 06:52:14 | INFO     | ai_quant_trader | API 调用成功，返回 500 个订单
2026-03-12 06:52:14 | INFO     | ai_quant_trader | 活跃订单数量：0
2026-03-12 06:52:14 | INFO     | ai_quant_trader | 交易所 API 返回 0 个活跃订单
2026-03-12 06:52:14 | INFO     | ai_quant_trader | 交易所返回 0 个原始订单
2026-03-12 06:52:14 | INFO     | ai_quant_trader | 查询到 0 个活跃订单
2026-03-12 06:52:14 | INFO     | ai_quant_trader | 开始查询活跃订单，交易对：BTCUSDT
2026-03-12 06:52:14 | INFO     | ai_quant_trader | 查询指定交易对订单：BTCUSDT
2026-03-12 06:52:14 | INFO     | ai_quant_trader | API 调用成功，返回 500 个订单
2026-03-12 06:52:14 | INFO     | ai_quant_trader | 活跃订单数量：0
2026-03-12 06:52:14 | INFO     | ai_quant_trader | 交易所 API 返回 0 个活跃订单
2026-03-12 06:52:14 | INFO     | ai_quant_trader | 交易所返回 0 个原始订单
2026-03-12 06:52:14 | INFO     | ai_quant_trader | 查询到 0 个活跃订单
2026-03-12 06:52:14 | INFO     | ai_quant_trader | 开始查询活跃订单，交易对：BTCUSDT
2026-03-12 06:52:14 | INFO     | ai_quant_trader | 查询指定交易对订单：BTCUSDT
